variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P6a,K4 multi-prototype + margin trust,0.68,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.69,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.7,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.71,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.72,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.73,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.74,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.75,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.76,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.77,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.78,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.79,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.8,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.81,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.82,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.83,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.84,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.85,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.86,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.87,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.88,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.89,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.9,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.91,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.92,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.93,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.94,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.95,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.96,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.97,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.98,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6a,K4 multi-prototype + margin trust,0.99,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.01,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.02,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.03,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.04,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.05,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.06,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.07,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.08,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.09,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.1,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.11,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P6b,K8 multi-prototype + margin trust,0.12,420,0,79,5,1.0,0.841683,0.059524,0.940476,0.0,1.0,0.843254,0.914037,0.990079,5,79,420,0
P6b,K8 multi-prototype + margin trust,0.13,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P6b,K8 multi-prototype + margin trust,0.14,420,0,75,9,1.0,0.848485,0.107143,0.892857,0.0,1.0,0.85119,0.918033,0.982143,9,75,420,0
P6b,K8 multi-prototype + margin trust,0.15,419,1,65,19,0.997619,0.865702,0.22619,0.77381,0.002381,0.95,0.869048,0.926991,0.960317,19,65,419,1
P6b,K8 multi-prototype + margin trust,0.16,419,1,61,23,0.997619,0.872917,0.27381,0.72619,0.002381,0.958333,0.876984,0.931111,0.952381,23,61,419,1
P6b,K8 multi-prototype + margin trust,0.17,419,1,52,32,0.997619,0.889597,0.380952,0.619048,0.002381,0.969697,0.894841,0.940516,0.934524,32,52,419,1
P6b,K8 multi-prototype + margin trust,0.18,418,2,43,41,0.995238,0.906725,0.488095,0.511905,0.004762,0.953488,0.910714,0.948922,0.914683,41,43,418,2
P6b,K8 multi-prototype + margin trust,0.19,417,3,37,47,0.992857,0.918502,0.559524,0.440476,0.007143,0.94,0.920635,0.954233,0.900794,47,37,417,3
P6b,K8 multi-prototype + margin trust,0.2,415,5,36,48,0.988095,0.920177,0.571429,0.428571,0.011905,0.90566,0.918651,0.952928,0.894841,48,36,415,5
P6b,K8 multi-prototype + margin trust,0.21,414,6,33,51,0.985714,0.926174,0.607143,0.392857,0.014286,0.894737,0.922619,0.955017,0.886905,51,33,414,6
P6b,K8 multi-prototype + margin trust,0.22,409,11,27,57,0.97381,0.938073,0.678571,0.321429,0.02619,0.838235,0.924603,0.955607,0.865079,57,27,409,11
P6b,K8 multi-prototype + margin trust,0.23,404,16,25,59,0.961905,0.941725,0.702381,0.297619,0.038095,0.786667,0.918651,0.951708,0.85119,59,25,404,16
P6b,K8 multi-prototype + margin trust,0.24,401,19,21,63,0.954762,0.950237,0.75,0.25,0.045238,0.768293,0.920635,0.952494,0.837302,63,21,401,19
P6b,K8 multi-prototype + margin trust,0.25,398,22,21,63,0.947619,0.949881,0.75,0.25,0.052381,0.741176,0.914683,0.948749,0.831349,63,21,398,22
P6b,K8 multi-prototype + margin trust,0.26,398,22,21,63,0.947619,0.949881,0.75,0.25,0.052381,0.741176,0.914683,0.948749,0.831349,63,21,398,22
P6b,K8 multi-prototype + margin trust,0.27,394,26,20,64,0.938095,0.951691,0.761905,0.238095,0.061905,0.711111,0.90873,0.944844,0.821429,64,20,394,26
P6b,K8 multi-prototype + margin trust,0.28,387,33,17,67,0.921429,0.957921,0.797619,0.202381,0.078571,0.67,0.900794,0.93932,0.801587,67,17,387,33
P6b,K8 multi-prototype + margin trust,0.29,383,37,15,69,0.911905,0.962312,0.821429,0.178571,0.088095,0.650943,0.896825,0.93643,0.789683,69,15,383,37
P6b,K8 multi-prototype + margin trust,0.3,380,40,14,70,0.904762,0.964467,0.833333,0.166667,0.095238,0.636364,0.892857,0.933661,0.781746,70,14,380,40
P6b,K8 multi-prototype + margin trust,0.31,375,45,14,70,0.892857,0.96401,0.833333,0.166667,0.107143,0.608696,0.882937,0.92707,0.771825,70,14,375,45
P6b,K8 multi-prototype + margin trust,0.32,366,54,14,70,0.871429,0.963158,0.833333,0.166667,0.128571,0.564516,0.865079,0.915,0.753968,70,14,366,54
P6b,K8 multi-prototype + margin trust,0.33,358,62,12,72,0.852381,0.967568,0.857143,0.142857,0.147619,0.537313,0.853175,0.906329,0.734127,72,12,358,62
P6b,K8 multi-prototype + margin trust,0.34,347,73,12,72,0.82619,0.966574,0.857143,0.142857,0.17381,0.496552,0.831349,0.890886,0.712302,72,12,347,73
P6b,K8 multi-prototype + margin trust,0.35,334,86,11,73,0.795238,0.968116,0.869048,0.130952,0.204762,0.459119,0.80754,0.873203,0.684524,73,11,334,86
P6b,K8 multi-prototype + margin trust,0.36,321,99,7,77,0.764286,0.978659,0.916667,0.083333,0.235714,0.4375,0.789683,0.858289,0.650794,77,7,321,99
P6b,K8 multi-prototype + margin trust,0.37,282,138,4,80,0.671429,0.986014,0.952381,0.047619,0.328571,0.366972,0.718254,0.798867,0.56746,80,4,282,138
P6b,K8 multi-prototype + margin trust,0.38,247,173,4,80,0.588095,0.984064,0.952381,0.047619,0.411905,0.316206,0.64881,0.736215,0.498016,80,4,247,173
P6b,K8 multi-prototype + margin trust,0.39,178,242,3,81,0.42381,0.983425,0.964286,0.035714,0.57619,0.250774,0.513889,0.592346,0.359127,81,3,178,242
P6b,K8 multi-prototype + margin trust,0.4,107,313,0,84,0.254762,1.0,1.0,0.0,0.745238,0.211587,0.378968,0.406072,0.212302,84,0,107,313
P6b,K8 multi-prototype + margin trust,0.41,39,381,0,84,0.092857,1.0,1.0,0.0,0.907143,0.180645,0.244048,0.169935,0.077381,84,0,39,381
P6b,K8 multi-prototype + margin trust,0.42,8,412,0,84,0.019048,1.0,1.0,0.0,0.980952,0.169355,0.18254,0.037383,0.015873,84,0,8,412
P6b,K8 multi-prototype + margin trust,0.43,1,419,0,84,0.002381,1.0,1.0,0.0,0.997619,0.166998,0.168651,0.004751,0.001984,84,0,1,419
P6b,K8 multi-prototype + margin trust,0.44,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.45,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.46,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.47,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.48,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.49,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.5,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.51,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.52,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.53,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.54,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.55,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.56,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.57,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.58,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.59,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.6,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.61,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.62,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.63,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.64,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.65,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.66,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.67,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.68,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.69,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.7,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.71,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.72,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.73,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.74,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.75,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.76,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.77,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.78,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.79,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.8,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.81,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.82,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.83,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.84,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.85,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.86,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.87,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.88,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.89,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.9,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.91,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.92,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.93,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.94,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.95,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.96,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.97,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.98,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P6b,K8 multi-prototype + margin trust,0.99,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
