threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.21,419,1,53,31,0.997619,0.887712,0.369048,0.630952,0.002381,0.96875,0.892857,0.939462,0.936508,31,53,419,1
0.22,419,1,49,35,0.997619,0.895299,0.416667,0.583333,0.002381,0.972222,0.900794,0.943694,0.928571,35,49,419,1
0.23,419,1,46,38,0.997619,0.901075,0.452381,0.547619,0.002381,0.974359,0.906746,0.946893,0.922619,38,46,419,1
0.24,419,1,45,39,0.997619,0.903017,0.464286,0.535714,0.002381,0.975,0.90873,0.947964,0.920635,39,45,419,1
0.25,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
0.26,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
0.27,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
0.28,418,2,45,39,0.995238,0.902808,0.464286,0.535714,0.004762,0.95122,0.906746,0.946772,0.918651,39,45,418,2
0.29,417,3,44,40,0.992857,0.904555,0.47619,0.52381,0.007143,0.930233,0.906746,0.946652,0.914683,40,44,417,3
0.3,417,3,44,40,0.992857,0.904555,0.47619,0.52381,0.007143,0.930233,0.906746,0.946652,0.914683,40,44,417,3
0.31,416,4,43,41,0.990476,0.906318,0.488095,0.511905,0.009524,0.911111,0.906746,0.94653,0.910714,41,43,416,4
0.32,416,4,42,42,0.990476,0.908297,0.5,0.5,0.009524,0.913043,0.90873,0.947608,0.90873,42,42,416,4
0.33,416,4,41,43,0.990476,0.910284,0.511905,0.488095,0.009524,0.914894,0.910714,0.948689,0.906746,43,41,416,4
0.34,416,4,40,44,0.990476,0.912281,0.52381,0.47619,0.009524,0.916667,0.912698,0.949772,0.904762,44,40,416,4
0.35,416,4,38,46,0.990476,0.9163,0.547619,0.452381,0.009524,0.92,0.916667,0.951945,0.900794,46,38,416,4
0.36,416,4,35,49,0.990476,0.922395,0.583333,0.416667,0.009524,0.924528,0.922619,0.955224,0.894841,49,35,416,4
0.37,416,4,35,49,0.990476,0.922395,0.583333,0.416667,0.009524,0.924528,0.922619,0.955224,0.894841,49,35,416,4
0.38,414,6,34,50,0.985714,0.924107,0.595238,0.404762,0.014286,0.892857,0.920635,0.953917,0.888889,50,34,414,6
0.39,414,6,34,50,0.985714,0.924107,0.595238,0.404762,0.014286,0.892857,0.920635,0.953917,0.888889,50,34,414,6
0.4,414,6,33,51,0.985714,0.926174,0.607143,0.392857,0.014286,0.894737,0.922619,0.955017,0.886905,51,33,414,6
0.41,414,6,32,52,0.985714,0.928251,0.619048,0.380952,0.014286,0.896552,0.924603,0.95612,0.884921,52,32,414,6
0.42,414,6,31,53,0.985714,0.930337,0.630952,0.369048,0.014286,0.898305,0.926587,0.957225,0.882937,53,31,414,6
0.43,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
0.44,414,6,28,56,0.985714,0.936652,0.666667,0.333333,0.014286,0.903226,0.93254,0.960557,0.876984,56,28,414,6
0.45,414,6,27,57,0.985714,0.938776,0.678571,0.321429,0.014286,0.904762,0.934524,0.961672,0.875,57,27,414,6
0.46,414,6,27,57,0.985714,0.938776,0.678571,0.321429,0.014286,0.904762,0.934524,0.961672,0.875,57,27,414,6
0.47,414,6,26,58,0.985714,0.940909,0.690476,0.309524,0.014286,0.90625,0.936508,0.962791,0.873016,58,26,414,6
0.48,414,6,26,58,0.985714,0.940909,0.690476,0.309524,0.014286,0.90625,0.936508,0.962791,0.873016,58,26,414,6
0.49,413,7,25,59,0.983333,0.942922,0.702381,0.297619,0.016667,0.893939,0.936508,0.962704,0.869048,59,25,413,7
0.5,413,7,24,60,0.983333,0.94508,0.714286,0.285714,0.016667,0.895522,0.938492,0.963827,0.867063,60,24,413,7
0.51,412,8,24,60,0.980952,0.944954,0.714286,0.285714,0.019048,0.882353,0.936508,0.962617,0.865079,60,24,412,8
0.52,411,9,23,61,0.978571,0.947005,0.72619,0.27381,0.021429,0.871429,0.936508,0.962529,0.861111,61,23,411,9
0.53,411,9,22,62,0.978571,0.949192,0.738095,0.261905,0.021429,0.873239,0.938492,0.963658,0.859127,62,22,411,9
0.54,408,12,21,63,0.971429,0.951049,0.75,0.25,0.028571,0.84,0.934524,0.961131,0.85119,63,21,408,12
0.55,407,13,20,64,0.969048,0.953162,0.761905,0.238095,0.030952,0.831169,0.934524,0.961039,0.847222,64,20,407,13
0.56,406,14,20,64,0.966667,0.953052,0.761905,0.238095,0.033333,0.820513,0.93254,0.959811,0.845238,64,20,406,14
0.57,406,14,20,64,0.966667,0.953052,0.761905,0.238095,0.033333,0.820513,0.93254,0.959811,0.845238,64,20,406,14
0.58,405,15,20,64,0.964286,0.952941,0.761905,0.238095,0.035714,0.810127,0.930556,0.95858,0.843254,64,20,405,15
0.59,403,17,20,64,0.959524,0.952719,0.761905,0.238095,0.040476,0.790123,0.926587,0.956109,0.839286,64,20,403,17
0.6,402,18,20,64,0.957143,0.952607,0.761905,0.238095,0.042857,0.780488,0.924603,0.954869,0.837302,64,20,402,18
0.61,401,19,20,64,0.954762,0.952494,0.761905,0.238095,0.045238,0.771084,0.922619,0.953627,0.835317,64,20,401,19
0.62,400,20,19,65,0.952381,0.954654,0.77381,0.22619,0.047619,0.764706,0.922619,0.953516,0.831349,65,19,400,20
0.63,398,22,19,65,0.947619,0.954436,0.77381,0.22619,0.052381,0.747126,0.918651,0.951016,0.827381,65,19,398,22
0.64,397,23,18,66,0.945238,0.956627,0.785714,0.214286,0.054762,0.741573,0.918651,0.950898,0.823413,66,18,397,23
0.65,396,24,18,66,0.942857,0.956522,0.785714,0.214286,0.057143,0.733333,0.916667,0.94964,0.821429,66,18,396,24
0.66,394,26,18,66,0.938095,0.956311,0.785714,0.214286,0.061905,0.717391,0.912698,0.947115,0.81746,66,18,394,26
0.67,394,26,17,67,0.938095,0.958637,0.797619,0.202381,0.061905,0.72043,0.914683,0.948255,0.815476,67,17,394,26
0.68,392,28,17,67,0.933333,0.958435,0.797619,0.202381,0.066667,0.705263,0.910714,0.945718,0.811508,67,17,392,28
0.69,392,28,17,67,0.933333,0.958435,0.797619,0.202381,0.066667,0.705263,0.910714,0.945718,0.811508,67,17,392,28
0.7,388,32,17,67,0.92381,0.958025,0.797619,0.202381,0.07619,0.676768,0.902778,0.940606,0.803571,67,17,388,32
0.71,388,32,17,67,0.92381,0.958025,0.797619,0.202381,0.07619,0.676768,0.902778,0.940606,0.803571,67,17,388,32
0.72,385,35,17,67,0.916667,0.957711,0.797619,0.202381,0.083333,0.656863,0.896825,0.93674,0.797619,67,17,385,35
0.73,384,36,17,67,0.914286,0.957606,0.797619,0.202381,0.085714,0.650485,0.894841,0.935445,0.795635,67,17,384,36
0.74,379,41,17,67,0.902381,0.957071,0.797619,0.202381,0.097619,0.62037,0.884921,0.928922,0.785714,67,17,379,41
0.75,378,42,17,67,0.9,0.956962,0.797619,0.202381,0.1,0.614679,0.882937,0.927607,0.78373,67,17,378,42
0.76,376,44,17,67,0.895238,0.956743,0.797619,0.202381,0.104762,0.603604,0.878968,0.924969,0.779762,67,17,376,44
0.77,373,47,17,67,0.888095,0.95641,0.797619,0.202381,0.111905,0.587719,0.873016,0.920988,0.77381,67,17,373,47
0.78,369,51,17,67,0.878571,0.955959,0.797619,0.202381,0.121429,0.567797,0.865079,0.915633,0.765873,67,17,369,51
0.79,365,55,17,67,0.869048,0.955497,0.797619,0.202381,0.130952,0.54918,0.857143,0.910224,0.757937,67,17,365,55
0.8,362,58,17,67,0.861905,0.955145,0.797619,0.202381,0.138095,0.536,0.85119,0.906133,0.751984,67,17,362,58
0.81,361,59,17,67,0.859524,0.955026,0.797619,0.202381,0.140476,0.531746,0.849206,0.904762,0.75,67,17,361,59
0.82,356,64,16,68,0.847619,0.956989,0.809524,0.190476,0.152381,0.515152,0.84127,0.89899,0.738095,68,16,356,64
0.83,350,70,15,69,0.833333,0.958904,0.821429,0.178571,0.166667,0.496403,0.831349,0.89172,0.724206,69,15,350,70
0.84,345,75,14,70,0.821429,0.961003,0.833333,0.166667,0.178571,0.482759,0.823413,0.885751,0.712302,70,14,345,75
0.85,345,75,13,71,0.821429,0.963687,0.845238,0.154762,0.178571,0.486301,0.825397,0.886889,0.710317,71,13,345,75
0.86,344,76,12,72,0.819048,0.966292,0.857143,0.142857,0.180952,0.486486,0.825397,0.886598,0.706349,72,12,344,76
0.87,339,81,12,72,0.807143,0.965812,0.857143,0.142857,0.192857,0.470588,0.815476,0.879377,0.696429,72,12,339,81
0.88,337,83,11,73,0.802381,0.968391,0.869048,0.130952,0.197619,0.467949,0.813492,0.877604,0.690476,73,11,337,83
0.89,334,86,11,73,0.795238,0.968116,0.869048,0.130952,0.204762,0.459119,0.80754,0.873203,0.684524,73,11,334,86
0.9,325,95,11,73,0.77381,0.967262,0.869048,0.130952,0.22619,0.434524,0.789683,0.859788,0.666667,73,11,325,95
0.91,317,103,9,75,0.754762,0.972393,0.892857,0.107143,0.245238,0.421348,0.777778,0.849866,0.646825,75,9,317,103
0.92,301,119,8,76,0.716667,0.97411,0.904762,0.095238,0.283333,0.389744,0.748016,0.825789,0.613095,76,8,301,119
0.93,290,130,8,76,0.690476,0.973154,0.904762,0.095238,0.309524,0.368932,0.72619,0.807799,0.59127,76,8,290,130
0.94,275,145,7,77,0.654762,0.975177,0.916667,0.083333,0.345238,0.346847,0.698413,0.783476,0.559524,77,7,275,145
0.95,260,160,7,77,0.619048,0.973783,0.916667,0.083333,0.380952,0.324895,0.668651,0.756914,0.529762,77,7,260,160
0.96,246,174,4,80,0.585714,0.984,0.952381,0.047619,0.414286,0.314961,0.646825,0.734328,0.496032,80,4,246,174
0.97,224,196,3,81,0.533333,0.986784,0.964286,0.035714,0.466667,0.292419,0.605159,0.692427,0.450397,81,3,224,196
0.98,197,223,1,83,0.469048,0.994949,0.988095,0.011905,0.530952,0.271242,0.555556,0.63754,0.392857,83,1,197,223
0.99,141,279,0,84,0.335714,1.0,1.0,0.0,0.664286,0.231405,0.446429,0.502674,0.279762,84,0,141,279
